"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Jordan Matthews",5000,"GB@Phi 08:30PM ET",13.790,"Phi"
"TE","Delanie Walker",4900,"Ten@Chi 01:00PM ET",14.000,"Ten"
"WR","Travis Benjamin",4900,"SD@Hou 01:00PM ET",12.367,"SD"
"RB","Doug Martin",4900,"Sea@TB 04:05PM ET",10.500,"TB"
"RB","Carlos Hyde",4800,"SF@Mia 01:00PM ET",14.738,"SF"
"WR","Tyreek Hill",4800,"KC@Den 08:30PM ET",10.410,"KC"
"WR","Cameron Meredith",4700,"Ten@Chi 01:00PM ET",11.575,"Chi"
"RB","Tevin Coleman",4700,"Ari@Atl 01:00PM ET",16.343,"Atl"
"WR","DeVante Parker",4700,"SF@Mia 01:00PM ET",11.611,"Mia"
"WR","Chris Hogan",4700,"NE@NYJ 04:25PM ET",8.033,"NE"
"WR","Ty Montgomery",4700,"GB@Phi 08:30PM ET",7.278,"GB"
"RB","Mike Gillislee",4600,"Jax@Buf 01:00PM ET",7.460,"Buf"
"WR","Brandon LaFell",4600,"Cin@Bal 01:00PM ET",9.870,"Cin"
"RB","Bilal Powell",4600,"NE@NYJ 04:25PM ET",9.820,"NYJ"
"WR","Eli Rogers",4500,"Pit@Ind 08:30PM ET",10.286,"Pit"
"RB","Jacquizz Rodgers",4500,"Sea@TB 04:05PM ET",11.017,"TB"
"TE","Martellus Bennett",4500,"NE@NYJ 04:25PM ET",12.440,"NE"
"RB","Darren Sproles",4500,"GB@Phi 08:30PM ET",10.530,"Phi"
"WR","Robert Woods",4400,"Jax@Buf 01:00PM ET",11.211,"Buf"
"RB","James White",4400,"NE@NYJ 04:25PM ET",10.950,"NE"
"RB","James Starks",4400,"GB@Phi 08:30PM ET",7.783,"GB"
"WR","Michael Floyd",4300,"Ari@Atl 01:00PM ET",8.490,"Ari"
"WR","Mohamed Sanu",4300,"Ari@Atl 01:00PM ET",10.100,"Atl"
"RB","Alfred Blue",4300,"SD@Hou 01:00PM ET",2.544,"Hou"
"RB","Wendell Smallwood",4300,"GB@Phi 08:30PM ET",4.580,"Phi"
"RB","Fitzgerald Toussaint",4200,"Pit@Ind 08:30PM ET",0.290,"Pit"
"RB","Chris Ivory",4200,"Jax@Buf 01:00PM ET",7.900,"Jax"
"WR","J.J. Nelson",4200,"Ari@Atl 01:00PM ET",6.222,"Ari"
"WR","Corey Coleman",4200,"NYG@Cle 01:00PM ET",11.800,"Cle"
"WR","Tavon Austin",4200,"LA@NO 01:00PM ET",9.570,"LA"
"TE","Antonio Gates",4200,"SD@Hou 01:00PM ET",11.000,"SD"
"RB","Ryan Mathews",4200,"GB@Phi 08:30PM ET",11.410,"Phi"
"RB","Giovani Bernard",4100,"Cin@Bal 01:00PM ET",12.630,"Cin"
"WR","Dontrelle Inman",4100,"SD@Hou 01:00PM ET",8.180,"SD"
"WR","Quincy Enunwa",4100,"NE@NYJ 04:25PM ET",10.940,"NYJ"
"WR","Kendall Wright",4000,"Ten@Chi 01:00PM ET",10.638,"Ten"
"WR","Marqise Lee",4000,"Jax@Buf 01:00PM ET",10.670,"Jax"
"RB","Terrance West",4000,"Cin@Bal 01:00PM ET",10.400,"Bal"
"WR","Tyler Boyd",4000,"Cin@Bal 01:00PM ET",7.320,"Cin"
"WR","John Brown",4000,"Ari@Atl 01:00PM ET",8.667,"Ari"
"RB","Shane Vereen",4000,"NYG@Cle 01:00PM ET",11.400,"NYG"
"RB","Benny Cunningham",4000,"LA@NO 01:00PM ET",3.678,"LA"
"RB","DuJuan Harris",4000,"SF@Mia 01:00PM ET",8.425,"SF"
"RB","Kapri Bibbs",4000,"KC@Den 08:30PM ET",2.130,"Den"
"TE","Travis Kelce",4000,"KC@Den 08:30PM ET",13.190,"KC"
"RB","Dion Lewis",4000,"NE@NYJ 04:25PM ET",7.900,"NE"
"WR","Allen Hurns",3900,"Jax@Buf 01:00PM ET",9.250,"Jax"
"RB","Jeremy Hill",3900,"Cin@Bal 01:00PM ET",11.650,"Cin"
"RB","Isaiah Crowell",3900,"NYG@Cle 01:00PM ET",12.982,"Cle"
"RB","Paul Perkins",3900,"NYG@Cle 01:00PM ET",4.588,"NYG"
"RB","Damien Williams",3900,"SF@Mia 01:00PM ET",7.444,"Mia"
"RB","Peyton Barber",3900,"Sea@TB 04:05PM ET",3.400,"TB"
"RB","DeAndre Washington",3900,"Car@Oak 04:25PM ET",4.940,"Oak"
"WR","Ted Ginn Jr.",3900,"Car@Oak 04:25PM ET",7.840,"Car"
"RB","Jeremy Langford",3800,"Ten@Chi 01:00PM ET",8.633,"Chi"
"WR","Eddie Royal",3800,"Ten@Chi 01:00PM ET",11.313,"Chi"
"DST","Bills ",3800,"Jax@Buf 01:00PM ET",9.000,"Buf"
"RB","Kenneth Dixon",3800,"Cin@Bal 01:00PM ET",4.150,"Bal"
"RB","Cameron Artis-Payne",3800,"Car@Oak 04:25PM ET",9.500,"Car"
"WR","Tajae Sharpe",3700,"Ten@Chi 01:00PM ET",8.309,"Ten"
"RB","Kenneth Farrow",3700,"SD@Hou 01:00PM ET",0.900,"SD"
"WR","Adam Humphries",3700,"Sea@TB 04:05PM ET",9.450,"TB"
"DST","Broncos ",3700,"KC@Den 08:30PM ET",10.800,"Den"
"WR","Danny Amendola",3700,"NE@NYJ 04:25PM ET",6.250,"NE"
"TE","Zach Ertz",3700,"GB@Phi 08:30PM ET",9.338,"Phi"
"WR","Percy Harvin",3600,"Jax@Buf 01:00PM ET",1.850,"Buf"
"WR","Marquise Goodwin",3600,"Jax@Buf 01:00PM ET",7.844,"Buf"
"WR","Taylor Gabriel",3600,"Ari@Atl 01:00PM ET",8.463,"Atl"
"RB","Duke Johnson Jr.",3600,"NYG@Cle 01:00PM ET",10.100,"Cle"
"TE","Gary Barnidge",3600,"NYG@Cle 01:00PM ET",8.427,"Cle"
"DST","Giants ",3600,"NYG@Cle 01:00PM ET",6.600,"NYG"
"WR","Brian Quick",3600,"LA@NO 01:00PM ET",9.120,"LA"
"WR","Kenny Stills",3600,"SF@Mia 01:00PM ET",9.080,"Mia"
"WR","Tyler Lockett",3600,"Sea@TB 04:05PM ET",5.700,"Sea"
"RB","Kenjon Barner",3600,"GB@Phi 08:30PM ET",2.560,"Phi"
"WR","Sammie Coates",3500,"Pit@Ind 08:30PM ET",7.800,"Pit"
"RB","T.J. Yeldon",3500,"Jax@Buf 01:00PM ET",9.680,"Jax"
"RB","Andre Ellington",3500,"Ari@Atl 01:00PM ET",1.720,"Ari"
"RB","Terron Ward",3500,"Ari@Atl 01:00PM ET",3.200,"Atl"
"WR","Victor Cruz",3500,"NYG@Cle 01:00PM ET",8.167,"NYG"
"WR","Jeremy Kerley",3500,"SF@Mia 01:00PM ET",10.240,"SF"
"RB","Akeem Hunt",3500,"SD@Hou 01:00PM ET",3.050,"Hou"
"WR","Russell Shepard",3500,"Sea@TB 04:05PM ET",5.450,"TB"
"DST","Seahawks ",3500,"Sea@TB 04:05PM ET",8.500,"Sea"
"WR","Devin Funchess",3500,"Car@Oak 04:25PM ET",6.260,"Car"
"RB","Reggie Bush",3400,"Jax@Buf 01:00PM ET",2.975,"Buf"
"WR","Torrey Smith",3400,"SF@Mia 01:00PM ET",5.922,"SF"
"DST","Patriots ",3400,"NE@NYJ 04:25PM ET",6.200,"NE"
"RB","Robert Turbin",3300,"Pit@Ind 08:30PM ET",5.222,"Ind"
"WR","Quinton Patton",3300,"SF@Mia 01:00PM ET",6.920,"SF"
"DST","Dolphins ",3300,"SF@Mia 01:00PM ET",7.900,"Mia"
"RB","Derek Watt",3300,"SD@Hou 01:00PM ET",0.990,"SD"
"TE","C.J. Fiedorowicz",3300,"SD@Hou 01:00PM ET",9.170,"Hou"
"RB","Jalen Richard",3300,"Car@Oak 04:25PM ET",7.840,"Oak"
"RB","Christine Michael",3300,"GB@Phi 08:30PM ET",13.389,"GB"
"WR","Phillip Dorsett",3200,"Pit@Ind 08:30PM ET",7.078,"Ind"
"TE","Dennis Pitta",3200,"Cin@Bal 01:00PM ET",9.250,"Bal"
"RB","Shaun Draughn",3200,"SF@Mia 01:00PM ET",4.640,"SF"
"WR","Albert Wilson",3200,"KC@Den 08:30PM ET",5.250,"KC"
"DST","Chiefs ",3200,"KC@Den 08:30PM ET",10.100,"KC"
"WR","Breshad Perriman",3100,"Cin@Bal 01:00PM ET",5.420,"Bal"
"DST","Ravens ",3100,"Cin@Bal 01:00PM ET",9.000,"Bal"
"TE","Coby Fleener",3100,"LA@NO 01:00PM ET",10.040,"NO"
"RB","Mike Davis",3100,"SF@Mia 01:00PM ET",1.938,"SF"
"TE","Cameron Brate",3100,"Sea@TB 04:05PM ET",10.630,"TB"
"WR","Chris Conley",3100,"KC@Den 08:30PM ET",6.640,"KC"
"RB","Jordan Todman",3000,"Pit@Ind 08:30PM ET",0.600,"Ind"
"RB","Roosevelt Nix",3000,"Pit@Ind 08:30PM ET",0.000,"Pit"
"RB","Josh Ferguson",3000,"Pit@Ind 08:30PM ET",3.440,"Ind"
"RB","Daryl Richardson",3000,"Pit@Ind 08:30PM ET",0.233,"Pit"
"WR","Darrius Heyward-Bey",3000,"Pit@Ind 08:30PM ET",3.978,"Pit"
"WR","Devin Street",3000,"Pit@Ind 08:30PM ET",1.000,"Ind"
"WR","Cobi Hamilton",3000,"Pit@Ind 08:30PM ET",5.240,"Pit"
"WR","Chester Rogers",3000,"Pit@Ind 08:30PM ET",3.325,"Ind"
"RB","Jalston Fowler",3000,"Ten@Chi 01:00PM ET",0.218,"Ten"
"RB","David Fluellen",3000,"Ten@Chi 01:00PM ET",0,"Ten"
"RB","Antonio Andrews",3000,"Ten@Chi 01:00PM ET",0.136,"Ten"
"RB","Ka'Deem Carey",3000,"Ten@Chi 01:00PM ET",2.400,"Chi"
"RB","Paul Lasike",3000,"Ten@Chi 01:00PM ET",0.350,"Chi"
"WR","Harry Douglas",3000,"Ten@Chi 01:00PM ET",2.700,"Ten"
"WR","Marc Mariani",3000,"Ten@Chi 01:00PM ET",0.000,"Ten"
"WR","Deonte Thompson",3000,"Ten@Chi 01:00PM ET",0.340,"Chi"
"WR","Joshua Bellamy",3000,"Ten@Chi 01:00PM ET",1.490,"Chi"
"WR","Marquess Wilson",3000,"Ten@Chi 01:00PM ET",4.500,"Chi"
"WR","Tre McBride",3000,"Ten@Chi 01:00PM ET",0.000,"Ten"
"TE","Zach Miller",3000,"Ten@Chi 01:00PM ET",11.960,"Chi"
"RB","Jerome Felton",3000,"Jax@Buf 01:00PM ET",0.811,"Buf"
"RB","Denard Robinson",3000,"Jax@Buf 01:00PM ET",0.660,"Jax"
"RB","Corey Grant",3000,"Jax@Buf 01:00PM ET",1.700,"Jax"
"RB","Jonathan Williams",3000,"Jax@Buf 01:00PM ET",2.017,"Buf"
"WR","Brandon Tate",3000,"Jax@Buf 01:00PM ET",1.933,"Buf"
"WR","Bryan Walters",3000,"Jax@Buf 01:00PM ET",2.100,"Jax"
"WR","Arrelious Benn",3000,"Jax@Buf 01:00PM ET",2.260,"Jax"
