"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Robby Anderson",3000,"NE@NYJ 04:25PM ET",5.200,"NYJ"
"WR","Jalin Marshall",3000,"NE@NYJ 04:25PM ET",3.300,"NYJ"
"RB","Aaron Ripkowski",3000,"GB@Phi 08:30PM ET",1.240,"GB"
"RB","Joe Kerridge",3000,"GB@Phi 08:30PM ET",0.000,"GB"
"WR","Trevor Davis",3000,"GB@Phi 08:30PM ET",1.156,"GB"
"WR","Dorial Green-Beckham",3000,"GB@Phi 08:30PM ET",5.980,"Phi"
"WR","Bryce Treggs",3000,"GB@Phi 08:30PM ET",2.967,"Phi"
"WR","Nelson Agholor",3000,"GB@Phi 08:30PM ET",6.190,"Phi"
"WR","Jeff Janis",3000,"GB@Phi 08:30PM ET",2.280,"GB"
"WR","Geronimo Allison",3000,"GB@Phi 08:30PM ET",3.200,"GB"
"DST","Eagles ",3000,"GB@Phi 08:30PM ET",9.700,"Phi"
"DST","Falcons ",2900,"Ari@Atl 01:00PM ET",5.900,"Atl"
"TE","Hunter Henry",2900,"SD@Hou 01:00PM ET",8.210,"SD"
"TE","Jack Doyle",2800,"Pit@Ind 08:30PM ET",9.960,"Ind"
"DST","Steelers ",2800,"Pit@Ind 08:30PM ET",5.800,"Pit"
"DST","Titans ",2800,"Ten@Chi 01:00PM ET",5.455,"Ten"
"DST","Bengals ",2800,"Cin@Bal 01:00PM ET",5.200,"Cin"
"TE","Jacob Tamme",2800,"Ari@Atl 01:00PM ET",7.625,"Atl"
"TE","Austin Hooper",2800,"Ari@Atl 01:00PM ET",5.190,"Atl"
"DST","Saints ",2800,"LA@NO 01:00PM ET",3.800,"NO"
"DST","Packers ",2800,"GB@Phi 08:30PM ET",4.200,"GB"
"TE","Jesse James",2700,"Pit@Ind 08:30PM ET",7.060,"Pit"
"DST","Bears ",2700,"Ten@Chi 01:00PM ET",5.600,"Chi"
"TE","Charles Clay",2700,"Jax@Buf 01:00PM ET",6.460,"Buf"
"DST","Cardinals ",2700,"Ari@Atl 01:00PM ET",9.100,"Ari"
"DST","Chargers ",2700,"SD@Hou 01:00PM ET",7.800,"SD"
"TE","Dwayne Allen",2600,"Pit@Ind 08:30PM ET",6.713,"Ind"
"TE","Ladarius Green",2600,"Pit@Ind 08:30PM ET",3.000,"Pit"
"TE","Garrett Celek",2600,"SF@Mia 01:00PM ET",4.460,"SF"
"DST","Texans ",2600,"SD@Hou 01:00PM ET",5.800,"Hou"
"DST","Panthers ",2600,"Car@Oak 04:25PM ET",7.900,"Car"
"TE","Virgil Green",2600,"KC@Den 08:30PM ET",5.586,"Den"
"TE","Richard Rodgers",2600,"GB@Phi 08:30PM ET",4.930,"GB"
"TE","David Johnson",2500,"Pit@Ind 08:30PM ET",1.230,"Pit"
"TE","Erik Swoope",2500,"Pit@Ind 08:30PM ET",2.000,"Ind"
"TE","Xavier Grimble",2500,"Pit@Ind 08:30PM ET",2.867,"Pit"
"TE","Anthony Fasano",2500,"Ten@Chi 01:00PM ET",2.127,"Ten"
"TE","Logan Paulsen",2500,"Ten@Chi 01:00PM ET",0.450,"Chi"
"TE","Patrick Scales",2500,"Ten@Chi 01:00PM ET",0.000,"Chi"
"TE","Beau Brinkley",2500,"Ten@Chi 01:00PM ET",0.000,"Ten"
"TE","Daniel Brown",2500,"Ten@Chi 01:00PM ET",0.000,"Chi"
"TE","Jace Amaro",2500,"Ten@Chi 01:00PM ET",2.967,"Ten"
"TE","Phillip Supernaw",2500,"Ten@Chi 01:00PM ET",0.927,"Ten"
"TE","Ben Braunecker",2500,"Ten@Chi 01:00PM ET",0.257,"Chi"
"TE","Marcedes Lewis",2500,"Jax@Buf 01:00PM ET",4.290,"Jax"
"TE","Gerald Christian",2500,"Jax@Buf 01:00PM ET",0.000,"Buf"
"TE","Neal Sterling",2500,"Jax@Buf 01:00PM ET",0.333,"Jax"
"TE","Nick O'Leary",2500,"Jax@Buf 01:00PM ET",1.840,"Buf"
"TE","Ben Koyack",2500,"Jax@Buf 01:00PM ET",1.950,"Jax"
"TE","Clark Harris",2500,"Cin@Bal 01:00PM ET",0.000,"Cin"
"TE","Ryan Hewitt",2500,"Cin@Bal 01:00PM ET",0.000,"Cin"
"TE","Crockett Gillmore",2500,"Cin@Bal 01:00PM ET",3.014,"Bal"
"TE","Tyler Kroft",2500,"Cin@Bal 01:00PM ET",1.920,"Cin"
"TE","C.J. Uzomah",2500,"Cin@Bal 01:00PM ET",4.538,"Cin"
"TE","Darren Waller",2500,"Cin@Bal 01:00PM ET",2.183,"Bal"
"TE","Nick Boyle",2500,"Cin@Bal 01:00PM ET",0,"Bal"
"TE","Darren Fells",2500,"Ari@Atl 01:00PM ET",2.288,"Ari"
"TE","Jermaine Gresham",2500,"Ari@Atl 01:00PM ET",4.070,"Ari"
"TE","Levine Toilolo",2500,"Ari@Atl 01:00PM ET",3.170,"Atl"
