"Carlos Hyde",4800,SFO,RB,MIA,21.7102,8.0298,14.87
"Jay Ajayi",7600,MIA,RB,SFO,34.6458,12.8142,23.73
"Kenyan Drake",3000,MIA,RB,SFO,2.94,0,1.47
"Lamar Miller",5800,HOU,RB,SDC,22.8478,9.3322,16.09
"Kenneth Farrow",3700,SDC,RB,HOU,2.48,0,1.24
"Melvin Gordon",7000,SDC,RB,HOU,25.8808,12.1792,19.03
"Spencer Ware",6100,KCC,RB,DEN,21.8424,6.8976,14.37
"Charcandrick West",5000,KCC,RB,DEN,8.153,2.367,5.26
"DuJuan Harris",4000,SFO,RB,MIA,9.06,0,4.53
"Darren Sproles",4500,PHI,RB,GBP,14.0128,4.5472,9.28
"Ryan Mathews",4200,PHI,RB,GBP,13.5292,4.6308,9.08
"Dion Lewis",4000,NEP,RB,NYJ,13.3164,3.1236,8.22
"Wendell Smallwood",4300,PHI,RB,GBP,5.38,0,2.69
"Jalen Richard",3300,OAK,RB,CAR,7.857,1.843,4.85
"Akeem Hunt",3500,HOU,RB,SDC,5.074,0.826,2.95
"Kenjon Barner",3600,PHI,RB,GBP,4.44,0,2.22
"Ty Montgomery",4700,GBP,WR,PHI,17.9644,0.5556,9.26
"Christine Michael",3300,GBP,RB,PHI,11.2996,2.4804,6.89
"LeGarrette Blount",5900,NEP,RB,NYJ,17.1687,5.5713,11.37
"Kapri Bibbs",4000,DEN,RB,KCC,6.8688,1.6112,4.24
"Devontae Booker",5600,DEN,RB,KCC,19.9582,7.3818,13.67
"James White",4400,NEP,RB,NYJ,12.0366,2.8234,7.43
"Matt Forte",5500,NYJ,RB,NEP,22.1774,8.2026,15.19
"James Starks",4400,GBP,RB,PHI,14.58,7.02,10.8
"Bilal Powell",4600,NYJ,RB,NEP,11.6844,3.2956,7.49
"Tim Hightower",5400,NOS,RB,LAR,16.8883,6.7317,11.81
"Mark Ingram",5000,NOS,RB,LAR,17.0528,6.3072,11.68
"Chris Thompson",3600,WAS,RB,DAL,13.6353,4.4247,9.03
"Robert Kelley",4300,WAS,RB,DAL,16.2144,6.3056,11.26
"Jerick McKinnon",3200,MIN,RB,DET,12.972,5.828,9.4
"DeMarco Murray",7700,TEN,RB,CHI,25.0954,16.0446,20.57
"Derrick Henry",5200,TEN,RB,CHI,6.8952,3.2448,5.07
"Jeremy Langford",3800,CHI,RB,TEN,9.112,1.608,5.36
"Ka'Deem Carey",3000,CHI,RB,TEN,4.34,0,2.17
"Jordan Howard",5300,CHI,RB,TEN,19.459,7.381,13.42
"Matt Asiata",3400,MIN,RB,DET,13.3608,4.2192,8.79
"Robert Turbin",3300,IND,RB,PIT,9.4932,2.2268,5.86
"Ezekiel Elliott",8500,DAL,RB,WAS,26.5601,13.3799,19.97
"Fitzgerald Toussaint",4200,PIT,RB,IND,3.503,1.017,2.26
"Le'Veon Bell",9000,PIT,RB,IND,33.4836,17.6364,25.56
"Alfred Morris",5100,DAL,RB,WAS,4.4032,0.7168,2.56
"Theo Riddick",5400,DET,RB,MIN,21.1117,9.7083,15.41
"Frank Gore",5200,IND,RB,PIT,18.1811,9.1589,13.67
"Dwayne Washington",3500,DET,RB,MIN,7.5816,1.7784,4.68
"T.J. Yeldon",3500,JAC,RB,BUF,10.4654,4.2746,7.37
"Chris Ivory",4200,JAC,RB,BUF,12.5913,5.2687,8.93
"Rashad Jennings",5600,NYG,RB,CLE,21.2972,7.4828,14.39
"Tevin Coleman",4700,ATL,RB,ARI,12.9826,5.6974,9.34
"Devonta Freeman",6400,ATL,RB,ARI,18.6796,9.2004,13.94
"Paul Perkins",3900,NYG,RB,CLE,10.6596,2.5004,6.58
"Isaiah Crowell",3900,CLE,RB,NYG,15.2365,4.4235,9.83
"Benny Cunningham",4000,LAR,RB,NOS,7.5795,2.2005,4.89
"Todd Gurley",5700,LAR,RB,NOS,22.5404,7.9196,15.23
"Duke Johnson",3600,CLE,RB,NYG,13.5864,4.7736,9.18
"Andre Ellington",3500,ARI,RB,ATL,4.9,0,2.45
"David Johnson",8900,ARI,RB,ATL,33.2248,15.6352,24.43
"Jeremy Hill",3900,CIN,RB,BAL,21.5992,6.8208,14.21
"LeSean McCoy",7300,BUF,RB,JAC,23.0874,10.3726,16.73
"Mike Gillislee",4600,BUF,RB,JAC,9.504,3.696,6.6
"Rex Burkhead",3000,CIN,RB,BAL,8.217,1.683,4.95
"Terrance West",4000,BAL,RB,CIN,16.4112,4.6288,10.52
"Kyle Juszczyk",3000,BAL,RB,CIN,6.6908,1.0892,3.89
"Kenneth Dixon",3800,BAL,RB,CIN,13.3791,3.2409,8.31
"Corey Coleman",4200,CLE,WR,NYG,21.0322,4.3078,12.67
"Rashard Higgins",3000,CLE,WR,NYG,3.62,0,1.81
"Doug Baldwin",6400,SEA,WR,TBB,24.7364,10.1036,17.42
"Ricardo Louis",3000,CLE,WR,NYG,7.052,1.148,4.1
"Andrew Hawkins",3000,CLE,WR,NYG,9.6228,2.2572,5.94
"Dwayne Harris",3000,NYG,WR,CLE,3.06,0,1.53
"Terrelle Pryor",5600,CLE,WR,NYG,21.1048,7.4152,14.26
"Jermaine Kearse",3000,SEA,WR,TBB,13.3812,3.1388,8.26
"Tyler Lockett",3600,SEA,WR,TBB,12.304,3.076,7.69
"Cecil Shorts",3000,TBB,WR,SEA,11.502,2.698,7.1
"Kelvin Benjamin",6700,CAR,WR,OAK,22.8468,6.0732,14.46
"Russell Shepard",3500,TBB,WR,SEA,9.821,2.379,6.1
"Adam Humphries",3700,TBB,WR,SEA,12.7565,3.7035,8.23
"Paul Richardson",3000,SEA,WR,TBB,7.7634,1.3166,4.54
"Mike Evans",7500,TBB,WR,SEA,26.767,10.933,18.85
"Roger Lewis",3000,NYG,WR,CLE,6.1,0,3.05
"Victor Cruz",3500,NYG,WR,CLE,10.0436,6.8364,8.44
"Kenny Britt",5400,LAR,WR,NOS,22.785,6.615,14.7
"Tavon Austin",4200,LAR,WR,NOS,16.4996,3.2604,9.88
"Josh Bellamy",3000,CHI,WR,TEN,6.82,0,3.41
"Cameron Meredith",4700,CHI,WR,TEN,17.19,5.73,11.46
"Marquess Wilson",3000,CHI,WR,TEN,14.4666,3.3934,8.93
"Eddie Royal",3800,CHI,WR,TEN,15.1404,5.3196,10.23
"Brian Quick",3600,LAR,WR,NOS,15.0822,3.5378,9.31
